sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
RM;"GROTTE DI CASTRO";E210;15/01/1871;11/01/1927
VT;"GROTTE DI CASTRO";E210;12/01/1927;
RM;"GROTTE SANTO STEFANO";E211;15/01/1871;11/01/1927
VT;"GROTTE SANTO STEFANO";E211;12/01/1927;19/05/1928
RC;GROTTERIA;E212;17/03/1861;
PZ;GROTTOLE;E213;17/03/1861;11/01/1927
MT;GROTTOLE;E213;12/01/1927;
AV;GROTTOLELLA;E214;17/03/1861;
VE;GRUARO;E215;19/11/1866;
TO;GRUGLIASCO;E216;17/03/1861;
CR;"GRUMELLO CON FARVENGO CREMONESE";E217;01/01/1868;18/03/1915
CR;"GRUMELLO CREMONESE ED UNITI";E217;19/03/1915;
BG;"GRUMELLO DE' ZANCHI";E218;17/03/1861;26/03/1928
BG;"GRUMELLO DEL MONTE";E219;17/03/1861;
BG;"GRUMELLO DEL PIANO";E220;17/03/1861;11/03/1927
PZ;"SAPONARA DI GRUMENTO";E221;06/05/1863;21/11/1932
PZ;"GRUMENTO NOVA";E221;22/11/1932;
TN;GRUMES;E222;16/10/1920;13/02/1923
TN;GRUMES;E222;14/02/1923;31/12/2015
BA;"GRUMO APPULA";E223;19/01/1863;
NA;"GRUMO NEVANO";E224;02/02/1864;
TN;GRUMO;E225;16/10/1920;13/02/1923
TN;GRUMO;E225;14/02/1923;21/05/1928
VI;"GRUMOLO DELLE ABBADESSE";E226;19/11/1866;
LE;GUAGNANO;E227;17/03/1861;11/01/1927
BR;GUAGNANO;E227;12/01/1927;13/04/1927
LE;GUAGNANO;E227;14/04/1927;
MC;GUALDO;E228;17/03/1861;
PG;"GUALDO CATTANEO";E229;17/03/1861;
PG;"GUALDO TADINO";E230;17/03/1861;
RE;GUALTIERI;E232;17/03/1861;
ME;"GUALTIERI SICAMINO'";E233;17/03/1861;
CA;GUAMAGGIORE;E234;17/03/1861;27/11/1928
CA;GUAMAGGIORE;E234;25/03/1946;19/08/1974
CA;GUAMAGGIORE;E234;20/08/1974;27/04/2016
SU;GUAMAGGIORE;E234;28/04/2016;
CO;GUANZATE;E235;17/03/1861;
RM;GUARCINO;E236;15/01/1871;11/01/1927
FR;GUARCINO;E236;12/01/1927;
NO;GUARDABOSONE;E237;17/03/1861;11/01/1927
VC;GUARDABOSONE;E237;12/01/1927;
MI;GUARDAMIGLIO;E238;17/03/1861;15/04/1992
LO;GUARDAMIGLIO;E238;16/04/1992;
CZ;GUARDAVALLE;E239;17/03/1861;
RO;"GUARDA VENETA";E240;19/11/1866;
PG;GUARDEA;E241;17/03/1861;11/01/1927
TR;GUARDEA;E241;12/01/1927;
CS;"GUARDIA PIEMONTESE";E242;06/02/1863;25/01/1928
CS;"GUARDIA PIEMONTESE";E242;22/02/1945;
CH;GUARDIAGRELE;E243;17/03/1861;
CB;GUARDIALFIERA;E244;17/03/1861;02/03/1970
CB;GUARDIALFIERA;E244;03/03/1970;
AV;"GUARDIA LOMBARDI";E245;17/03/1861;
PZ;"GUARDIA PERTICARA";E246;17/03/1861;
CS;"GUARDIA PIEMONTESE TERME";E247;26/01/1928;22/02/1945
CB;GUARDIAREGIA;E248;17/03/1861;02/03/1970
CB;GUARDIAREGIA;E248;03/03/1970;
BN;"GUARDIA SANFRAMONDI";E249;17/03/1861;
PI;GUARDISTALLO;E250;17/03/1861;
CN;GUARENE;E251;17/03/1861;
CA;GUASILA;E252;17/03/1861;19/08/1974
CA;GUASILA;E252;20/08/1974;27/04/2016
SU;GUASILA;E252;28/04/2016;
RE;GUASTALLA;E253;17/03/1861;
AL;GUAZZORA;E255;17/03/1861;
PG;GUBBIO;E256;17/03/1861;
TN;GUDON;E257;16/10/1920;13/02/1923
TN;GUDON;E257;14/02/1923;11/01/1927
BZ;GUDON;E257;12/01/1927;04/06/1929
MI;"GUDO VISCONTI";E258;17/03/1861;
CB;GUGLIONESI;E259;17/03/1861;02/03/1970
CB;GUGLIONESI;E259;03/03/1970;
MN;GUIDIZZOLO;E261;01/07/1868;
ME;GUIDOMANDRI;E262;17/03/1861;25/09/1928
RM;"GUIDONIA MONTECELIO";E263;03/11/1937;
MO;GUIGLIA;E264;21/05/1880;
PV;SIZIANO;E265;01/06/1871;
CH;GUILMI;E266;17/03/1861;
CO;GURONE;E268;17/03/1861;11/01/1927
VA;GURONE;E268;12/01/1927;17/01/1928
NO;GURRO;E269;17/03/1861;22/05/1992
VB;GURRO;E269;23/05/1992;
CA;GUSPINI;E270;17/03/1861;19/08/1974
CA;GUSPINI;E270;20/08/1974;31/12/2005
VS;GUSPINI;E270;01/01/2006;27/04/2016
SU;GUSPINI;E270;28/04/2016;
BS;GUSSAGO;E271;17/03/1861;
CR;GUSSOLA;E272;17/03/1861;
TO;HONE;E273;17/03/1861;11/01/1927
AO;HONE;E273;12/01/1927;29/06/1928
AO;HONE;E273;10/03/1946;
CZ;JACURSO;E274;17/03/1861;
RC;IATRINOLI;E275;17/03/1861;26/03/1928
TN;IAVRE';E276;16/10/1920;13/02/1923
TN;IAVRE';E276;14/02/1923;27/06/1928
GO;"IDRESCA D'ISONZO";E277;05/01/1921;07/02/1923
UD;"IDRESCA D'ISONZO";E277;08/02/1923;11/01/1927
GO;"IDRESCA D'ISONZO";E277;12/01/1927;01/05/1928
GO;IDRIA;E278;05/01/1921;07/02/1923
UD;IDRIA;E278;08/02/1923;11/01/1927
GO;IDRIA;E278;12/01/1927;15/09/1947
GO;"IDRIA DI SOTTO";E279;05/01/1921;07/02/1923
UD;"IDRIA DI SOTTO";E279;08/02/1923;11/01/1927
GO;"IDRIA DI SOTTO";E279;12/01/1927;23/08/1928
BS;IDRO;E280;17/03/1861;
CA;IGLESIAS;E281;17/03/1861;19/08/1974
CA;IGLESIAS;E281;20/08/1974;31/12/2005
CI;IGLESIAS;E281;01/01/2006;27/04/2016
SU;IGLESIAS;E281;28/04/2016;
CN;IGLIANO;E282;17/03/1861;
CA;ILBONO;E283;23/11/1878;11/01/1927
NU;ILBONO;E283;12/01/1927;31/12/2005
OG;ILBONO;E283;01/01/2006;27/04/2016
NU;ILBONO;E283;28/04/2016;
VR;ILLASI;E284;19/11/1866;
SS;ILLORAI;E285;17/03/1861;
CO;IMBERIDO;E286;17/03/1861;30/10/1928
CO;IMBERSAGO;E287;17/03/1861;28/07/1928
CO;IMBERSAGO;E287;30/03/1948;15/04/1992
LC;IMBERSAGO;E287;16/04/1992;
TN;IMER;E288;16/10/1920;13/02/1923
TN;IMER;E288;14/02/1923;27/01/1928
TN;IMER;E288;30/03/1947;
BO;IMOLA;E289;25/12/1865;
IM;IMPERIA;E290;29/11/1923;
FI;IMPRUNETA;E291;16/12/1928;
VA;INARZO;E292;28/05/1958;
CO;INCINO;E293;17/03/1861;12/11/1906
AL;"INCISA BELBO";E295;16/02/1863;06/12/1928
AL;"INCISA SCAPACCINO";E295;07/12/1928;07/04/1935
AT;"INCISA SCAPACCINO";E295;08/04/1935;
FI;"INCISA IN VAL D'ARNO";E296;13/04/1863;31/12/2013
BS;INCUDINE;E297;17/03/1861;
CO;INDOVERO;E298;10/02/1879;25/05/1928
CO;"INDUNO OLONA";E299;23/02/1863;11/01/1927
VA;"INDUNO OLONA";E299;12/01/1927;28/12/1927
VA;"INDUNO OLONA";E299;24/12/1950;
TO;INGRIA;E301;17/03/1861;11/01/1927
AO;INGRIA;E301;12/01/1927;04/10/1945
TO;INGRIA;E301;05/10/1945;
CO;INTIMIANO;E302;17/03/1861;15/12/1928
NO;INTRA;E303;17/03/1861;04/06/1939
NO;INTRAGNA;E304;17/03/1861;22/05/1992
VB;INTRAGNA;E304;23/05/1992;
CO;INTROBIO;E305;17/03/1861;15/04/1992
LC;INTROBIO;E305;16/04/1992;
TO;INTROD;E306;17/03/1861;11/01/1927
AO;INTROD;E306;12/01/1927;12/05/1928
AO;INTROD;E306;10/03/1946;
AQ;INTRODACQUA;E307;17/03/1861;
CO;INTROZZO;E308;17/03/1861;15/04/1992
LC;INTROZZO;E308;16/04/1992;31/12/2017
CO;INVERIGO;E309;17/03/1861;
PV;INVERNO;E310;15/10/1872;25/12/1961
PV;"INVERNO E MONTELEONE";E310;26/12/1961;
TO;"INVERSO PINASCA";E311;17/03/1861;30/05/1928
TO;"INVERSO PINASCA";E311;03/08/1947;
TO;"INVERSO PORTE";E312;17/03/1861;30/05/1928
MI;INVERUNO;E313;02/08/1870;
NO;INVORIO;E314;03/04/1928;
NO;"INVORIO INFERIORE";E315;17/03/1861;02/04/1928
NO;"INVORIO SUPERIORE";E316;17/03/1861;02/04/1928
MI;INZAGO;E317;17/03/1861;
BS;INZINO;E318;17/03/1861;03/12/1927
UD;JOANNIZ;E319;05/01/1921;07/02/1923
UD;JOANNIZ;E319;08/02/1923;26/04/1923
UD;IOANNIS;E319;27/04/1923;01/07/1931
FE;"LE VENEZIE";E320;23/01/1909;19/04/1911
FE;"JOLANDA DI SAVOIA";E320;20/04/1911;
CZ;IONADI;E321;17/03/1861;15/04/1992
VV;IONADI;E321;16/04/1992;
UD;IPPLIS;E322;19/11/1866;15/04/1928
SS;IRGOLI;E323;17/03/1861;11/01/1927
NU;IRGOLI;E323;12/01/1927;01/02/1928
NU;IRGOLI;E323;08/03/1946;
NU;"IRGOLI DI GALTELLI";E324;02/02/1928;08/03/1946
BS;IRMA;E325;17/03/1861;26/12/1927
BS;IRMA;E325;06/01/1956;
PZ;IRSINA;E326;12/04/1895;11/01/1927
MT;IRSINA;E326;12/01/1927;
CN;ISASCA;E327;17/03/1861;28/03/1928
CN;ISASCA;E327;26/11/1947;
CZ;"ISCA SULLO IONIO";E328;17/03/1861;
NA;ISCHIA;E329;17/03/1861;
RM;"ISCHIA DI CASTRO";E330;02/09/1872;11/01/1927
VT;"ISCHIA DI CASTRO";E330;12/01/1927;
TN;ISCHIA;E331;16/10/1920;13/02/1923
TN;ISCHIA;E331;14/02/1923;24/01/1929
FG;ISCHITELLA;E332;17/03/1861;
BS;ISEO;E333;17/03/1861;
TN;ISERA;E334;16/10/1920;13/02/1923
TN;ISERA;E334;14/02/1923;
CB;ISERNIA;E335;17/03/1861;02/03/1970
IS;ISERNIA;E335;03/03/1970;
CA;ISILI;E336;17/03/1861;11/01/1927
NU;ISILI;E336;12/01/1927;31/12/2005
CA;ISILI;E336;01/01/2006;27/04/2016
SU;ISILI;E336;28/04/2016;
PA;ISNELLO;E337;17/03/1861;
AL;"ISOLA D'ASTI";E338;16/02/1863;07/04/1935
AT;"ISOLA D'ASTI";E338;08/04/1935;
CZ;"ISOLA DI CAPO RIZZUTO";E339;06/02/1863;15/04/1992
KR;"ISOLA DI CAPO RIZZUTO";E339;16/04/1992;
CE;"ISOLA DEL LIRI";E340;06/07/1869;11/01/1927
FR;"ISOLA DEL LIRI";E340;12/01/1927;
GE;"ISOLA DEL CANTONE";E341;23/04/1863;
SO;ISOLATO;E342;13/07/1863;13/07/1983
SO;MADESIMO;E342;14/07/1983;
TE;"ISOLA DEL GRAN SASSO D'ITALIA";E343;13/07/1863;
MI;"ISOLA BALBA";E344;17/03/1861;11/02/1869
TO;ISOLABELLA;E345;17/03/1861;29/12/1928
TO;ISOLABELLA;E345;24/12/1946;
IM;ISOLABONA;E346;17/03/1861;
CO;"ISOLA COMACINA";E347;03/11/1928;05/04/1950
GR;"ISOLA DEL GIGLIO";E348;17/03/1861;
VR;"ISOLA DELLA SCALA";E349;19/11/1866;
PA;"ISOLA DELLE FEMMINE";E350;17/03/1861;
PU;"ISOLA DEL PIANO";E351;17/03/1861;
BG;"ISOLA DI FONDRA";E353;15/08/1928;
VI;"ISOLA DI MALO";E354;19/11/1866;31/12/1905
VI;"ISOLA VICENTINA";E354;01/01/1906;
PL;"ISOLA D'ISTRIA";E355;05/01/1921;07/02/1923
PL;"ISOLA D'ISTRIA";E355;08/02/1923;03/04/1977
CR;"ISOLA DOVARESE";E356;17/03/1861;
VR;"ISOLA RIZZA";E358;08/07/1872;
NO;"ISOLA SAN GIULIO";E359;17/03/1861;13/12/1928
AL;"ISOLA SANT'ANTONIO";E360;25/05/1877;
NO;ISOLELLA;E361;17/03/1861;11/01/1927
VC;ISOLELLA;E361;12/01/1927;05/09/1928
FG;"ISOLE TREMITI";E363;12/02/1932;
BS;ISORELLA;E364;17/03/1861;
SA;ISPANI;E365;17/03/1861;01/04/1928
SA;ISPANI;E365;28/02/1946;
SR;SPACCAFORNO;E366;17/03/1861;11/01/1927
RG;SPACCAFORNO;E366;12/01/1927;05/07/1935
RG;ISPICA;E366;06/07/1935;
CO;ISPRA;E367;17/03/1861;11/01/1927
VA;ISPRA;E367;12/01/1927;
TO;ISSIGLIO;E368;17/03/1861;11/01/1927
AO;ISSIGLIO;E368;12/01/1927;04/10/1945
TO;ISSIGLIO;E368;05/10/1945;
TO;ISSIME;E369;17/03/1861;11/01/1927
AO;ISSIME;E369;12/01/1927;
BG;ISSO;E370;17/03/1861;
TO;ISSOGNE;E371;17/03/1861;11/01/1927
AO;ISSOGNE;E371;12/01/1927;
CH;VASTO;E372;17/03/1861;01/06/1938
CH;ISTONIO;E372;02/06/1938;11/01/1945
CH;VASTO;E372;12/01/1945;
TV;ISTRANA;E373;19/11/1866;
ME;ITALA;E374;17/03/1861;25/09/1928
ME;ITALA;E374;12/05/1947;
CE;ITRI;E375;17/03/1861;11/01/1927
RM;ITRI;E375;12/01/1927;25/10/1934
LT;ITRI;E375;26/10/1934;
SS;ITTIREDDU;E376;17/03/1861;
SS;ITTIRI;E377;17/03/1861;
TN;IVANO-FRACENA;E378;16/10/1920;13/02/1923
TN;IVANO-FRACENA;E378;14/02/1923;27/07/1928
TN;IVANO-FRACENA;E378;14/01/1947;01/07/2016
TO;IVREA;E379;17/03/1861;11/01/1927
AO;IVREA;E379;12/01/1927;04/10/1945
TO;IVREA;E379;05/10/1945;
CR;IZANO;E380;17/03/1861;
CB;JELSI;E381;17/03/1861;02/03/1970
CB;JELSI;E381;03/03/1970;
RM;JENNE;E382;15/01/1871;
MI;"JERAGO CON BESNATE ED ORAGO";E385;04/04/1892;01/07/1907
MI;"JERAGO CON ORAGO";E386;01/07/1907;11/01/1927
VA;"JERAGO CON ORAGO";E386;12/01/1927;
CA;JERZU;E387;17/03/1861;11/01/1927
NU;JERZU;E387;12/01/1927;31/12/2005
OG;JERZU;E387;01/01/2006;27/04/2016
NU;JERZU;E387;28/04/2016;
AN;JESI;E388;11/12/1865;
CZ;JOPPOLO;E389;17/03/1861;15/04/1992
VV;JOPPOLO;E389;16/04/1992;
AG;"JOPPOLO GIANCAXIO";E390;28/11/1923;
TO;JOVENCAN;E391;17/03/1861;11/01/1927
AO;JOVENCAN;E391;12/01/1927;20/03/1928
AO;JOVENCAN;E391;15/05/1946;
RM;LABICO;E392;06/02/1880;
PG;LABRO;E393;17/03/1861;18/03/1923
RM;LABRO;E393;19/03/1923;11/01/1927
RI;LABRO;E393;12/01/1927;
TO;"LA CASSA";E394;17/03/1861;02/04/1928
TO;"LA CASSA";E394;21/01/1947;
MI;LACCHIARELLA;E395;22/03/1869;
NA;"LACCO AMENO";E396;19/01/1863;12/11/1938
NA;"LACCO AMENO";E396;22/09/1945;
AV;LACEDONIA;E397;17/03/1861;
TN;LACES;E398;16/10/1920;13/02/1923
TN;LACES;E398;14/02/1923;11/01/1927
BZ;LACES;E398;12/01/1927;
TN;LACIGNO;E399;16/10/1920;13/02/1923
TN;LACIGNO;E399;14/02/1923;26/04/1923
TN;LACINIGO;E399;27/04/1923;11/01/1927
BZ;LACINIGO;E399;12/01/1927;14/02/1929
CA;LACONI;E400;17/03/1861;11/01/1927
NU;LACONI;E400;12/01/1927;31/12/2005
OR;LACONI;E400;01/01/2006;
SS;LAERRU;E401;17/03/1861;
RC;LAGANADI;E402;17/03/1861;
VI;LAGHI;E403;19/11/1866;
UD;"SAN LEOPOLDO ALAGLESIE";E404;05/01/1921;07/02/1923
UD;"SAN LEOPOLDO ALAGLESIE";E404;08/02/1923;26/04/1923
UD;"LAGLESIE SAN LEOPOLDO";E404;27/04/1923;19/05/1928
CO;LAGLIO;E405;17/03/1861;30/05/1928
CO;LAGLIO-BRIENNO;E405;31/05/1928;25/03/1948
CO;LAGLIO;E405;26/03/1948;
CN;LAGNASCO;E406;17/03/1861;
CS;LAGO;E407;17/03/1861;
TV;LAGO;E408;19/11/1866;24/11/1867
TV;"SAN GIORGIO DI LAGO";E408;25/11/1867;27/07/1868
PZ;LAGONEGRO;E409;17/03/1861;
FE;LAGOSANTO;E410;17/03/1861;
ZA;LAGOSTA;E411;05/01/1921;07/02/1923
ZA;LAGOSTA;E411;08/02/1923;15/09/1947
TN;LAGUNDO;E412;16/10/1920;13/02/1923
TN;LAGUNDO;E412;14/02/1923;11/01/1927
BZ;LAGUNDO;E412;12/01/1927;
PI;LAJATICO;E413;17/03/1861;
GE;LAIGUEGLIA;E414;17/03/1861;11/01/1927
SV;LAIGUEGLIA;E414;12/01/1927;
MI;LAINATE;E415;02/08/1870;
CO;LAINO;E416;17/03/1861;
CS;"LAINO BORGO";E417;17/03/1861;16/04/1928
CS;"LAINO BORGO";E417;25/11/1947;
CS;"LAINO BRUZIO";E418;17/04/1928;25/11/1947
CS;"LAINO CASTELLO";E419;17/03/1861;16/04/1928
CS;"LAINO CASTELLO";E419;25/11/1947;
TN;LAION;E420;16/10/1920;13/02/1923
TN;LAION;E420;14/02/1923;11/01/1927
BZ;LAION;E420;12/01/1927;
TN;LAIVES;E421;16/10/1920;13/02/1923
TN;LAIVES;E421;14/02/1923;11/01/1927
BZ;LAIVES;E421;12/01/1927;
BG;LALLIO;E422;17/03/1861;
TO;"LA LOGGIA";E423;17/03/1861;
CH;"LAMA DEI PELIGNI";E424;06/02/1863;
SS;"LA MADDALENA";E425;17/03/1861;31/12/2005
OT;"LA MADDALENA";E425;01/01/2006;27/04/2016
SS;"LA MADDALENA";E425;28/04/2016;
MO;"LAMA MOCOGNO";E426;17/03/1861;
MI;LAMBRATE;E427;17/03/1861;13/10/1923
CO;LAMBRUGO;E428;17/03/1861;
BL;LAMON;E429;19/11/1866;
CN;"LA MORRA";E430;26/01/1863;
AG;"LAMPEDUSA E LINOSA";E431;09/08/1875;
FI;LAMPORECCHIO;E432;01/07/1897;11/01/1927
PT;LAMPORECCHIO;E432;12/01/1927;
NO;LAMPORO;E433;17/03/1861;11/01/1927
VC;LAMPORO;E433;12/01/1927;
TN;LANA;E434;16/10/1920;13/02/1923
TN;LANA;E434;14/02/1923;11/01/1927
BZ;LANA;E434;12/01/1927;
CH;LANCIANO;E435;17/03/1861;
NO;LANDIONA;E436;17/03/1861;
PV;LANDRIANO;E437;01/11/1872;
PR;LANGHIRANO;E438;17/03/1861;
PV;LANGOSCO;E439;17/03/1861;
PL;LANISCHIE;E440;07/05/1929;15/09/1947
CA;LANUSEI;E441;17/03/1861;11/01/1927
NU;LANUSEI;E441;12/01/1927;31/12/2005
OG;LANUSEI;E441;01/01/2006;27/04/2016
NU;LANUSEI;E441;28/04/2016;
ME;LANZA;E442;09/09/1928;15/03/1947
SO;LANZADA;E443;17/03/1861;
CO;"LANZO D'INTELVI";E444;29/12/1862;31/12/2016
TO;"LANZO TORINESE";E445;05/01/1863;
CO;LAORCA;E446;17/03/1861;11/01/1924
AP;LAPEDONA;E447;17/03/1861;11/07/2009
FM;LAPEDONA;E447;12/07/2009;
AV;LAPIO;E448;17/03/1861;
TN;LAPPAGO;E449;16/10/1920;13/02/1923
TN;LAPPAGO;E449;14/02/1923;11/01/1927
BZ;LAPPAGO;E449;12/01/1927;19/06/1928
CS;LAPPANO;E450;17/03/1861;
FI;LARCIANO;E451;01/07/1897;11/01/1927
PT;LARCIANO;E451;12/01/1927;
TN;LARDARO;E452;16/10/1920;13/02/1923
TN;LARDARO;E452;14/02/1923;28/04/1928
TN;LARDARO;E452;01/01/1958;31/12/2015
PV;LARDIRAGO;E454;17/03/1861;
PI;LARI;E455;17/03/1861;31/12/2013
CB;LARINO;E456;17/03/1861;02/03/1970
CB;LARINO;E456;03/03/1970;
TN;LASA;E457;16/10/1920;13/02/1923
TN;LASA;E457;14/02/1923;11/01/1927
BZ;LASA;E457;12/01/1927;
TO;"LA SALLE";E458;17/03/1861;11/01/1927
AO;"LA SALLE";E458;12/01/1927;27/05/1929
AO;"SALA DORA";E458;05/06/1935;29/01/1946
AO;"LA SALLE";E458;30/01/1946;
PA;LASCARI;E459;17/03/1861;
TS;LASE;E460;05/01/1921;07/02/1923
TS;LASE;E460;08/02/1923;28/10/1926
TN;LASINO;E461;16/10/1920;13/02/1923
TN;LASINO;E461;14/02/1923;28/07/1928
TN;LASINO;E461;12/09/1953;31/12/2015
CO;LASNIGO;E462;17/03/1861;
GE;SPEZIA;E463;17/03/1861;21/12/1923
SP;SPEZIA;E463;22/12/1923;17/11/1930
SP;"LA SPEZIA";E463;18/11/1930;
CA;"LAS PLASSAS";E464;17/03/1861;09/02/1928
CA;"LAS PLASSAS";E464;24/01/1947;19/08/1974
CA;"LAS PLASSAS";E464;20/08/1974;31/12/2005
VS;"LAS PLASSAS";E464;01/01/2006;27/04/2016
SU;"LAS PLASSAS";E464;28/04/2016;
VI;LASTEBASSE;E465;19/11/1866;
FI;"LASTRA A SIGNA";E466;17/03/1861;
RM;LATERA;E467;15/01/1871;11/01/1927
VT;LATERA;E467;12/01/1927;
AR;LATERINA;E468;17/03/1861;31/12/2017
LE;LATERZA;E469;17/03/1861;21/12/1923
TA;LATERZA;E469;22/12/1923;
TO;"LA THUILE";E470;17/03/1861;11/01/1927
AO;"LA THUILE";E470;12/01/1927;20/10/1939
AO;"PORTA LITTORIA";E470;21/10/1939;29/01/1946
AO;"LA THUILE";E470;30/01/1946;
LE;LATIANO;E471;17/03/1861;11/01/1927
BR;LATIANO;E471;12/01/1927;
RM;LITTORIA;E472;06/11/1932;25/10/1934
LT;LITTORIA;E472;26/10/1934;23/04/1945
LT;LATINA;E472;24/04/1945;
UD;LATISANA;E473;19/11/1866;05/04/1968
UD;LATISANA;E473;06/04/1968;
PZ;LATRONICO;E474;17/03/1861;
CS;LATTARICO;E475;17/03/1861;11/05/1928
CS;LATTARICO;E475;07/03/1934;
UD;LAUCO;E476;19/11/1866;05/04/1968
UD;LAUCO;E476;06/04/1968;
TN;LAUDES;E477;16/10/1920;13/02/1923
TN;LAUDES;E477;14/02/1923;11/01/1927
BZ;LAUDES;E477;12/01/1927;26/01/1928
FU;LAURANA;E478;05/01/1921;07/02/1923
PL;LAURANA;E478;08/02/1923;08/03/1924
FU;LAURANA;E478;09/03/1924;15/09/1947
RC;"LAUREANA DI BORELLO";E479;10/04/1863;05/11/1930
RC;"LAUREANA DI BORRELLO";E479;06/11/1930;
SA;"LAUREANA CILENTO";E480;29/12/1862;
TN;LAUREGNO;E481;16/10/1920;13/02/1923
TN;LAUREGNO;E481;14/02/1923;06/09/1928
BZ;LAUREGNO;E481;14/03/1948;
PZ;LAURENZANA;E482;17/03/1861;
PZ;LAURIA;E483;17/03/1861;
TO;LAURIANO;E484;17/03/1861;
SA;LAURINO;E485;07/09/1875;
SA;LAURITO;E486;17/03/1861;
AV;LAURO;E487;01/08/1871;
GE;LAVAGNA;E488;17/03/1861;
VR;LAVAGNO;E489;19/11/1866;
BL;"LA VALLE";E490;19/11/1866;01/10/1964
BL;"LA VALLE AGORDINA";E490;02/10/1964;
TN;"LA VALLE";E491;16/10/1920;13/02/1923
TN;"LA VALLE";E491;14/02/1923;11/01/1927
BZ;"LA VALLE";E491;12/01/1927;15/06/1928
BZ;"LA VALLE";E491;10/06/1964;
TN;LAVARONE;E492;16/10/1920;13/02/1923
TN;LAVARONE;E492;14/02/1923;
PZ;LAVELLO;E493;17/03/1861;
CO;LAVENA;E494;17/03/1861;11/01/1927
VA;LAVENA;E494;12/01/1927;16/04/1927
VA;"LAVENA PONTE TRESA";E494;17/04/1927;
CO;LAVENO;E495;17/03/1861;11/01/1927
VA;LAVENO;E495;12/01/1927;27/01/1928
VA;LAVENO-MOMBELLO;E496;28/01/1928;
BS;LAVENONE;E497;17/03/1861;
SA;LAVIANO;E498;17/03/1861;
IM;LAVINA;E499;17/03/1861;14/04/1928
TN;LAVIS;E500;16/10/1920;13/02/1923
TN;LAVIS;E500;14/02/1923;
TN;LAZFONS;E501;16/10/1920;13/02/1923
TN;LAZFONS;E501;14/02/1923;11/01/1927
BZ;LAZFONS;E501;12/01/1927;04/06/1929
VR;LAZISE;E502;19/11/1866;
AL;LAZZARONE;E503;17/03/1861;19/02/1901
AL;VILLABELLA;E503;20/02/1901;18/06/1938
MI;LAZZATE;E504;23/06/1905;29/06/2009
MB;LAZZATE;E504;30/06/2009;
AQ;"LECCE NEI MARSI";E505;06/05/1863;
LE;LECCE;E506;17/03/1861;
CO;LECCO;E507;17/03/1861;15/04/1992
LC;LECCO;E507;16/04/1992;
GO;LEDINE;E508;31/12/1921;07/02/1923
UD;LEDINE;E508;08/02/1923;11/01/1927
GO;LEDINE;E508;12/01/1927;23/08/1928
BG;LEFFE;E509;17/03/1861;
CO;LEGGIUNO;E510;17/03/1861;11/01/1927
VA;LEGGIUNO;E510;12/01/1927;06/01/1928
VA;LEGGIUNO;E510;14/09/1963;
VA;LEGGIUNO-SANGIANO;E511;07/01/1928;13/09/1963
VR;LEGNAGO;E512;19/11/1866;
MI;LEGNANO;E514;17/03/1861;
PD;LEGNARO;E515;19/11/1866;
TN;LEGOS;E516;16/10/1920;13/02/1923
TN;LEGOS;E516;14/02/1923;03/04/1928
SS;LEI;E517;17/03/1861;11/01/1927
NU;LEI;E517;12/01/1927;
TO;LEYNI;E518;17/03/1861;20/07/1939
TO;LEINI;E518;21/07/1939;
GE;"SAN RUFINO";E519;17/03/1861;04/10/1934
GE;LEIVI;E519;05/10/1934;
TO;LEMIE;E520;17/03/1861;
CO;LEMNA;E521;17/03/1861;11/05/1928
RO;LENDINARA;E522;06/06/1868;
ME;LENI;E523;10/01/1910;
BG;LENNA;E524;17/03/1861;13/09/1927
BG;LENNA;E524;26/08/1956;
CO;LENNO;E525;17/03/1861;07/02/1929
CO;LENNO;E525;03/10/1947;03/02/2014
BS;LENO;E526;17/03/1861;
CE;LENOLA;E527;17/03/1861;11/01/1927
RM;LENOLA;E527;12/01/1927;25/10/1934
LT;LENOLA;E527;26/10/1934;
NO;LENTA;E528;17/03/1861;11/01/1927
VC;LENTA;E528;12/01/1927;
CO;"OSMATE LENTATE";E529;24/06/1892;11/01/1927
VA;"OSMATE LENTATE";E529;12/01/1927;28/08/1970
VA;OSMATE;E529;29/08/1970;14/02/2019
MI;"LENTATE SUL SEVESO";E530;24/02/1869;17/12/2009
MB;"LENTATE SUL SEVESO";E530;18/12/2009;
CH;LENTELLA;E531;17/03/1861;
SR;LENTINI;E532;17/03/1861;
TN;LENZIMA;E533;16/10/1920;13/02/1923
TN;LENZIMA;E533;14/02/1923;13/02/1929
TN;LENZUMO;E534;16/10/1920;13/02/1923
TN;LENZUMO;E534;14/02/1923;08/02/1928
AQ;LEONESSA;E535;17/03/1861;11/01/1927
RI;LEONESSA;E535;12/01/1927;
CT;LEONFORTE;E536;17/03/1861;11/01/1927
EN;LEONFORTE;E536;12/01/1927;
LE;LEPORANO;E537;17/03/1861;21/12/1923
TA;LEPORANO;E537;22/12/1923;
LE;LEQUILE;E538;17/03/1861;
CN;"LEQUIO TANARO";E539;26/01/1863;10/02/1928
CN;"LEQUIO TANARO";E539;23/05/1947;
CN;"LEQUIO BERRIA";E540;19/12/1862;
PA;"LERCARA FRIDDI";E541;17/03/1861;
GE;LERICI;E542;17/03/1861;21/12/1923
SP;LERICI;E542;22/12/1923;
AL;LERMA;E543;17/03/1861;
NO;LESA;E544;17/03/1861;14/04/1928
