sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
PV;ALAGNA;A118;17/03/1861;
NO;"ALAGNA VALSESIA";A119;07/11/1864;11/01/1927
VC;"ALAGNA VALSESIA";A119;12/01/1927;
TE;ALANNO;A120;17/03/1861;11/01/1927
PE;ALANNO;A120;12/01/1927;
BL;"ALANO DI PIAVE";A121;12/04/1867;21/01/2024
GE;ALASSIO;A122;17/03/1861;11/01/1927
SV;ALASSIO;A122;12/01/1927;
RM;ALATRI;A123;15/01/1871;11/01/1927
FR;ALATRI;A123;12/01/1927;
CN;ALBA;A124;17/03/1861;
TE;"ALBA ADRIATICA";A125;29/07/1956;
CA;"OLLASTRA USELLUS";A126;17/03/1861;09/10/1927
CA;OLLASTA;A126;08/04/1959;08/06/1964
CA;ALBAGIARA;A126;09/06/1964;19/08/1974
OR;ALBAGIARA;A126;20/08/1974;
MI;ALBAIRATE;A127;17/03/1861;
SA;ALBANELLA;A128;17/03/1861;
BG;"ALBANO SANT'ALESSANDRO";A129;13/07/1863;
NO;"ALBANO VERCELLESE";A130;29/12/1862;11/01/1927
VC;"ALBANO VERCELLESE";A130;12/01/1927;
PZ;"ALBANO DI LUCANIA";A131;10/04/1863;
RM;"ALBANO LAZIALE";A132;02/10/1872;
NA;ALBANOVA;A133;23/05/1928;31/08/1945
CE;ALBANOVA;A133;01/09/1945;25/03/1946
PV;"ALBAREDO ARNABOLDI";A134;30/03/1863;09/11/1928
PV;"ALBAREDO ARNABOLDI";A134;20/01/1948;17/11/2023
SO;"ALBAREDO PER SAN MARCO";A135;13/07/1863;
VR;"ALBAREDO D'ADIGE";A137;26/08/1867;
PR;"ALBARETO DI BORGOTARO";A138;20/10/1862;28/06/1928
PR;ALBARETO;A138;27/02/1946;
CN;"ALBARETTO DELLA TORRE";A139;19/12/1862;01/05/1928
CN;"ALBARETTO DELLA TORRE";A139;30/03/1947;
CN;"ALBARETTO VALLE DI MACRA";A140;30/03/1863;30/05/1928
CO;ALBATE;A142;17/03/1861;12/08/1943
CO;ALBAVILLA;A143;29/07/1928;
BG;ALBEGNO;A144;17/03/1861;13/12/1928
GE;ALBENGA;A145;17/03/1861;11/01/1927
SV;ALBENGA;A145;12/01/1927;
AL;"ALBERA LIGURE";A146;26/01/1863;27/05/1929
AL;"ALBERA LIGURE";A146;04/09/1947;
TS;AUBER;A148;05/01/1921;07/02/1923
TS;AUBER;A148;08/02/1923;26/04/1923
TS;"ALBER DI SESANA";A148;27/04/1923;21/10/1927
BA;ALBEROBELLO;A149;28/01/1895;
FG;ALBERONA;A150;17/03/1861;
TN;ALBES;A151;16/10/1920;13/02/1923
TN;ALBES;A151;14/02/1923;11/01/1927
BZ;ALBES;A151;12/01/1927;08/09/1928
CO;ALBESE;A152;17/03/1861;22/09/1928
CO;"ALBESE CON CASSANO";A153;23/09/1928;
VI;ALBETTONE;A154;19/11/1866;
CZ;ALBI;A155;17/03/1861;
TO;"ALBIANO D'IVREA";A157;05/01/1863;11/01/1927
AO;"ALBIANO D'IVREA";A157;12/01/1927;04/10/1945
TO;"ALBIANO D'IVREA";A157;05/10/1945;
TN;ALBIANO;A158;16/10/1920;13/02/1923
TN;ALBIANO;A158;14/02/1923;
MI;ALBIATE;A159;17/03/1861;29/06/2009
MB;ALBIATE;A159;30/06/2009;
CS;ALBIDONA;A160;17/03/1861;
PD;ALBIGNASEGO;A161;19/11/1866;
RE;ALBINEA;A162;17/03/1861;
BG;ALBINO;A163;17/03/1861;
CO;ALBIOLO;A164;17/03/1861;
GE;"ALBISSOLA MARINA";A165;17/03/1861;11/01/1927
SV;"ALBISSOLA MARINA";A165;12/01/1927;
GE;"ALBISOLA SUPERIORE";A166;17/03/1861;11/01/1927
SV;"ALBISOLA SUPERIORE";A166;12/01/1927;
MI;ALBIZZATE;A167;11/03/1869;11/01/1927
VA;ALBIZZATE;A167;12/01/1927;
CO;ALBOGASIO;A168;17/03/1861;09/06/1927
NO;ALBOGNO;A169;17/03/1861;28/06/1928
PL;ALBONA;A170;05/01/1921;07/02/1923
PL;ALBONA;A170;08/02/1923;15/09/1947
PV;ALBONESE;A171;17/03/1861;
SO;ALBOSAGGIA;A172;17/03/1861;
AL;ALBUGNANO;A173;17/03/1861;07/04/1935
AT;ALBUGNANO;A173;08/04/1935;
PV;ALBUZZANO;A175;01/11/1872;
TP;ALCAMO;A176;17/03/1861;
ME;"ALCARA LI FUSI";A177;01/01/1868;
TN;ALDENO;A178;16/10/1920;13/02/1923
TN;ALDENO;A178;14/02/1923;
TN;VALDAGNO;A179;16/10/1920;13/02/1923
TN;VALDAGNO;A179;14/02/1923;15/08/1928
TN;"VALDAGNO DI TRENTO";A179;16/08/1928;13/03/1948
BZ;VALDAGNO;A179;14/03/1948;01/03/1955
BZ;ALDINO;A179;02/03/1955;
CA;ALES;A180;17/03/1861;19/08/1974
OR;ALES;A180;20/08/1974;
AG;"ALESSANDRIA DELLA ROCCA";A181;19/01/1863;
AL;ALESSANDRIA;A182;17/03/1861;
CS;"ALESSANDRIA DEL CARRETTO";A183;06/02/1863;
LE;ALESSANO;A184;17/03/1861;
LE;ALEZIO;A185;16/07/1873;
SA;ALFANO;A186;17/03/1861;
AQ;ALFEDENA;A187;17/03/1861;
BS;ALFIANELLO;A188;17/03/1861;
AL;"ALFIANO NATTA";A189;16/02/1863;
RA;ALFONSINE;A191;17/03/1861;
SS;ALGHERO;A192;17/03/1861;
BG;"ALGUA DI COSTA SERINA";A193;20/11/1927;23/03/1928
BG;"ALGUA DI COSTA SERINA";A193;21/04/1948;19/10/1963
BG;ALGUA;A193;20/10/1963;
ME;ALI';A194;17/03/1861;
PA;ALIA;A195;17/03/1861;
PZ;ALIANO;A196;17/03/1861;11/01/1927
MT;ALIANO;A196;12/01/1927;
AL;"ALICE BEL COLLE";A197;16/02/1863;
NO;"ALICE CASTELLO";A198;29/12/1862;11/01/1927
VC;"ALICE CASTELLO";A198;12/01/1927;
TO;"ALICE SUPERIORE";A199;17/03/1861;11/01/1927
AO;"ALICE SUPERIORE";A199;12/01/1927;04/10/1945
TO;"ALICE SUPERIORE";A199;05/10/1945;31/12/2018
CE;ALIFE;A200;17/03/1861;11/01/1927
BN;ALIFE;A200;12/01/1927;31/08/1945
CE;ALIFE;A200;01/09/1945;
ME;"ALI' MARINA";A201;26/07/1910;07/10/1928
ME;"ALI' MARINA";A201;24/04/1946;14/08/1954
ME;"ALI' TERME";A201;15/08/1954;
PA;ALIMENA;A202;17/03/1861;
PA;ALIMINUSA;A203;17/03/1861;
CA;ALLAI;A204;17/03/1861;19/08/1974
OR;ALLAI;A204;20/08/1974;
TO;ALLAIN;A205;17/03/1861;11/01/1927
AO;ALLAIN;A205;12/01/1927;20/10/1939
AO;ALLENO;A205;21/10/1939;29/01/1946
AO;ALLAIN;A205;30/01/1946;01/01/1977
AO;ALLEIN;A205;02/01/1977;
BL;ALLEGHE;A206;19/11/1866;
PG;ALLERONA;A207;22/07/1887;11/01/1927
TR;ALLERONA;A207;12/01/1927;
LE;ALLISTE;A208;17/03/1861;
TN;ALLIZ;A209;16/10/1920;13/02/1923
TN;ALLIZ;A209;14/02/1923;11/01/1927
BZ;ALLIZ;A209;12/01/1927;14/05/1929
RM;ALLUMIERE;A210;15/01/1871;
AL;"ALLUVIONI CAMBIO'";A211;17/03/1861;31/12/2017
CN;ALMA;A212;17/03/1861;30/05/1928
TN;ALMAZZAGO;A213;16/10/1920;13/02/1923
TN;ALMAZZAGO;A213;14/02/1923;06/10/1928
BG;ALME';A214;17/03/1861;31/07/1927
BG;ALME';A214;26/03/1948;
BG;"VILLA D'ALME'";A215;15/01/1885;30/07/1927
BG;"VILLA D'ALME'";A215;11/09/1951;
BG;"ALMENNO SAN BARTOLOMEO";A216;17/03/1861;
BG;"ALMENNO SAN SALVATORE";A217;15/01/1885;
TO;ALMESE;A218;17/03/1861;
BS;ALONE;A219;17/03/1861;02/04/1928
VI;ALONTE;A220;19/11/1866;
TO;ALPETTE;A221;17/03/1861;11/01/1927
AO;ALPETTE;A221;12/01/1927;04/10/1945
TO;ALPETTE;A221;05/10/1945;
TO;ALPIGNANO;A222;17/03/1861;
PC;ALSENO;A223;17/03/1861;
CO;ALSERIO;A224;17/03/1861;
BA;ALTAMURA;A225;17/03/1861;
GE;ALTARE;A226;17/03/1861;11/01/1927
SV;ALTARE;A226;12/01/1927;
AL;"ALTAVILLA MONFERRATO";A227;16/02/1863;
AV;"ALTAVILLA IRPINA";A228;29/12/1862;
PA;"ALTAVILLA MILICIA";A229;10/11/1862;
SA;"ALTAVILLA SILENTINA";A230;29/12/1862;
VI;"ALTAVILLA VICENTINA";A231;02/09/1867;
AP;ALTIDONA;A233;17/03/1861;11/07/2009
FM;ALTIDONA;A233;12/07/2009;
CS;ALTILIA;A234;17/03/1861;21/05/1928
CS;ALTILIA;A234;18/07/1937;
CH;ALTINO;A235;17/03/1861;
VI;ALTISSIMO;A236;19/11/1866;
TV;ALTIVOLE;A237;19/11/1866;
CN;ALTO;A238;17/03/1861;
